title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
Evaluating LLM Agents on Automated Software Analysis Tasks,,Islem Bouzenia; Cristian Cadar; Michael Pradel,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
"Evaluating Software Development Agents: Patch Patterns, Code Quality, and Issue Complexity in Real-World GitHub Scenarios",10.1109/saner64311.2025.00068,Z. Chen; L. Jiang,2025,IEEE+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,6,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER); cs.SE",SANER
Evolving Excellence: Automated Optimization of LLM-based Agents,,Paul Brookes; Vardan Voskanyan; Rafail Giavrimis; Matthew Truscott; Mina Ilieva; Chrystalla Pavlou; Alexandru Staicu; Manal Adham; Will Evers- Hood; Jingzhi Gong; Kejia Zhang; Matvey Fedoseev; Vishal Sharma; Roman Bauer; Zheng Wang; Hema Nair; Wei Jie; Tianhua Xu; Aurora Constantin; Leslie Kanthan; Michail Basios,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair,,Fangwen Mu; Junjie Wang; Lin Shi; Song Wang; Shoubin Li; Qing Wang,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; FSE/ESEC,FSE
Execution-Feedback Driven Test Generation from SWE Issues,,Toufique Ahmed; Jatin Ganhotra; Avraham Shinnar; Martin Hirzel,2026,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
FEA-Bench: A Benchmark for Evaluating Repository-Level Code Generation for Feature Implementation,,Wei Li; Xin Zhang; Zhongxin Guo; Shaoguang Mao; Wen Luo; Guangyue Peng; Yangyu Huang; Houfeng Wang; Scarlett Li,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair,,Ruize Ma; Yilei Jiang; Shilin Zhang; Zheng Ma; Yi Feng; Vincent Ng; Zhi Wang; Xiangyu Yue; Chuanyi Li; Lewei Lu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
FeatureBench: Benchmarking Agentic Coding for Complex Feature Development,,Qixing Zhou; Jiacheng Zhang; Haiyang Wang; Rui Hao; Jiahe Wang; Minghao Han; Yuxue Yang; Shuzhe Wu; Feiyang Pan; Lue Fan; Dandan Tu; Zhaoxiang Zhang,2026,arXiv,SE-G1 AND AI-G2,1,cs.SE,arXiv
Forecasting Frontier Language Model Agent Capabilities,,Govind Pimpale; Axel Højmark; Jérémy Scheurer; Marius Hobbhahn,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
From SWE-ZERO to SWE-HERO: Execution-free to Execution-based Fine-tuning for Software Engineering Agents,,Nikolai Ludwig; Wasi Uddin Ahmad; Somshubra Majumdar; Boris Ginsburg,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Git Context Controller: Manage the Context of LLM-based Agents like Git,,Junde Wu; Minhao Hu; Jiayuan Zhu; Jiazhen Pan; Yuyuan Liu; Min Xu; Yueming Jin,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
"GLM-4.5: Agentic, Reasoning, and Coding (ARC) Foundation Models",,GLM-4. 5 Team; :; Aohan Zeng; Xin Lv; Qinkai Zheng; Zhenyu Hou; Bin Chen; Chengxing Xie; Cunxiang Wang; Da Yin; Hao Zeng; Jiajie Zhang; Kedong Wang; Lucen Zhong; Mingdao Liu; Rui Lu; Shulin Cao; Xiaohan Zhang; Xuancheng Huang; Yao Wei; Yean Cheng; Yifan An; Yilin Niu; Yuanhao Wen; Yushi Bai; Zhengxiao Du; Zihan Wang; Zilin Zhu; Bohan Zhang; Bosi Wen; Bowen Wu; Bowen Xu; Can Huang; Casey Zhao; Changpeng Cai; Chao Yu; Chen Li; Chendi Ge; Chenghua Huang; Chenhui Zhang; Chenxi Xu; Chenzheng Zhu; Chuang Li; Congfeng Yin; Daoyan Lin; Dayong Yang; Dazhi Jiang; Ding Ai; Erle Zhu; Fei Wang; Gengzheng Pan; Guo Wang; Hailong Sun; Haitao Li; Haiyang Li; Haiyi Hu; Hanyu Zhang; Hao Peng; Hao Tai; Haoke Zhang; Haoran Wang; Haoyu Yang; He Liu; He Zhao; Hongwei Liu; Hongxi Yan; Huan Liu; Huilong Chen; Ji Li; Jiajing Zhao; Jiamin Ren; Jian Jiao; Jiani Zhao; Jianyang Yan; Jiaqi Wang; Jiayi Gui; Jiayue Zhao; Jie Liu; Jijie Li; Jing Li; Jing Lu; Jingsen Wang; Jingwei Yuan; Jingxuan Li; Jingzhao Du; Jinhua Du; Jinxin Liu; Junkai Zhi; Junli Gao; Ke Wang; Lekang Yang; Liang Xu; Lin Fan; Lindong Wu; Lintao Ding; Lu Wang; Man Zhang; Minghao Li; Minghuan Xu; Mingming Zhao; Mingshu Zhai; Pengfan Du; Qian Dong; Shangde Lei; Shangqing Tu; Shangtong Yang; Shaoyou Lu; Shijie Li; Shuang Li; Shuang-Li; Shuxun Yang; Sibo Yi; Tianshu Yu; Wei Tian; Weihan Wang; Wenbo Yu; Weng Lam Tam; Wenjie Liang; Wentao Liu; Xiao Wang; Xiaohan Jia; Xiaotao Gu; Xiaoying Ling; Xin Wang; Xing Fan; Xingru Pan; Xinyuan Zhang; Xinze Zhang; Xiuqing Fu; Xunkai Zhang; Yabo Xu; Yandong Wu; Yida Lu; Yidong Wang; Yilin Zhou; Yiming Pan; Ying Zhang; Yingli Wang; Yingru Li; Yinpei Su; Yipeng Geng; Yitong Zhu; Yongkun Yang; Yuhang Li; Yuhao Wu; Yujiang Li; Yunan Liu; Yunqing Wang; Yuntao Li; Yuxuan Zhang; Zezhen Liu; Zhen Yang; Zhengda Zhou; Zhongpei Qiao; Zhuoer Feng; Zhuorui Liu; Zichen Zhang; Zihan Wang; Zijun Yao; Zikang Wang; Ziqiang Liu; Ziwei Chai; Zixuan Li; Zuodong Zhao; Wenguang Chen; Jidong Zhai; Bin Xu; Minlie Huang; Hongning Wang; Juanzi Li; Yuxiao Dong; Jie Tang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
GSO: Challenging Software Optimization Tasks for Evaluating SWE-Agents,,Manish Shetty; Naman Jain; Jinjian Liu; Vijay Kethanaboyina; Koushik Sen; Ion Stoica,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS 2025 (Datasets and Benchmarks Track),NeurIPS
GraphLocator: Graph-guided Causal Reasoning for Issue Localization,,Wei Liu; Chao Peng; Pengfei Gao; Aofan Liu; Wei Zhang; Haiyan Zhao; Zhi Jin,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Hierarchical Reward Modeling for Fault Localization in Large Code Repositories,,Jiwei Zhang; Jianxun Lian; Haiming Qin; Mingyang Zhou; KeZhong Lu; Rui Mao; Hao Liao,2025,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
Hindsight Hint Distillation: Scaffolded Reasoning for SWE Agents from CoT-free Answers,,Shengjie Wang; Guanghe Li; Zonghan Yang; Yang Gao,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
Holistic Evaluation and Failure Diagnosis of AI Agents,,Netta Madvil; Gilad Dym; Alon Mecilati; Edo Dekel; Jonatan Liberman; Rotem Brazilay; Liron Schliesser; Max Svidlo; Shai Nir; Orel Shalom; Yaron Friedman; David Connack; Amos Rimon; Philip Tannor; Shir Chorev,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
How Do AI Agents Spend Your Money? Analyzing and Predicting Token Consumption in Agentic Coding Tasks,,Longju Bai; Zhemin Huang; Xingyao Wang; Jiao Sun; Rada Mihalcea; Erik Brynjolfsson; Alex Pentland; Jiaxin Pei,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
How Small is Enough? Empirical Evidence of Quantized Small Language Models for Automated Program Repair,10.1109/esem64174.2025.00047,K. Kusama; H. Shu; M. Kondo; Y. Kamei,2025,IEEE+arXiv,SE-G1 AND AI-G1,2,2025 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM); cs.SE,EMSE
Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine,,Wenyi Wang; Piotr Piękos; Li Nanbo; Firas Laakom; Yimeng Chen; Mateusz Ostaszewski; Mingchen Zhuge; Jürgen Schmidhuber,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ICLR,ICLR
Hybrid-Gym: Training Coding Agents to Generalize Across Tasks,,Yiqing Xie; Emmy Liu; Gaokai Zhang; Nachiket Kotalwar; Shubham Gandhi; Sathwik Acharya; Xingyao Wang; Carolyn Rose; Graham Neubig; Daniel Fried,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML 2026,ICML
HyperAgent: Generalist Software Engineering Agents to Solve Coding Tasks at Scale,,Huy Nhat Phan; Tien N. Nguyen; Phong X. Nguyen; Nghi D. Q. Bui,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
iCoRe: An Iterative Correlation-Aware Retriever for Bug Reproduction Test Generation,,Junyi Wang; Jialun Cao; Zhongxin Liu,2026,arXiv,SE-G2 AND AI-G1,1,cs.SE; FSE 2026; FSE/ESEC,FSE
Immersion in the GitHub Universe: Scaling Coding Agents to Mastery,,Jiale Zhao; Guoxin Chen; Fanzhe Meng; Minghao Li; Jie Chen; Hui Xu; Yongshuai Sun; Wayne Xin Zhao; Ruihua Song; Yuan Zhang; Peng Wang; Cheng Chen; Jirong Wen; Kai Jia,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Improving Code Localization with Repository Memory,,Boshi Wang; Weijian Xu; Yunsheng Li; Mei Gao; Yujia Xie; Huan Sun; Dongdong Chen,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; ICLR 2026,ICLR
"Infant Agent: A Tool-Integrated, Logic-Driven Agent with Cost-Effective API Usage",,Bin Lei; Yuchen Li; Yiming Zeng; Tao Ren; Yi Luo; Tianyu Shi; Zitian Gao; Zeyu Hu; Weitai Kang; Qiuwu Chen,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
InfantAgent-Next: A Multimodal Generalist Agent for Automated Computer Interaction,,Bin Lei; Weitai Kang; Zijian Zhang; Winson Chen; Xi Xie; Shan Zuo; Mimi Xie; Ali Payani; Mingyi Hong; Yan Yan; Caiwen Ding,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; NeurIPS 2025,NeurIPS
InfCode: Adversarial Iterative Refinement of Tests and Patches for Reliable Software Issue Resolution,,KeFan Li; Mengfei Wang; Hengzhi Zhang; Zhichao Li; Yuan Yuan; Mu Li; Xiang Gao; Hailong Sun; Chunming Hu; Weifeng Lv,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Integrating Various Software Artifacts for Better LLM-based Bug Localization and Program Repair,10.1145/3770581,"Feng, Qiong and Ma, Xiaotian and Sheng, Jiayi and Feng, Ziyuan and Song, Wei and Liang, Peng",2025,ACM+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,6,ACM Trans. Softw. Eng. Methodol.; cs.SE; TOSEM,TOSEM
Issue Localization via LLM-Driven Iterative Code Graph Searching,10.1109/ase63991.2025.00249,Z. Jiang; X. Ren; M. Yan; W. Jiang; Y. Li; Z. Liu,2025,IEEE+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,4,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE); cs.SE,ASE
Issue2Test: Generating Reproducing Test Cases from Issue Reports,,Noor Nashid; Islem Bouzenia; Michael Pradel; Ali Mesbah,2026,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Kimi-Dev: Agentless Training as Skill Prior for SWE-Agents,,Zonghan Yang; Shengjie Wang; Kelin Fu; Wenyang He; Weimin Xiong; Yibo Liu; Yibo Miao; Bofei Gao; Yejie Wang; Yingwei Ma; Yanhao Li; Yue Liu; Zhenxing Hu; Kaitai Zhang; Shuyi Wang; Huarong Chen; Flood Sung; Yang Liu; Yang Gao; Zhilin Yang; Tianyu Liu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ICLR 2026,ICLR
LLM-based Agents for Automated Bug Fixing: How Far Are We?,,"Zexiong Ma, Pengfei Gao, Chao Peng Xiangxin Meng",2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
Large Language Model Critics for Execution-Free Evaluation of Code Changes,,Aashish Yadavally; Hoan Nguyen; Laurent Callot; Gauthier Guinet,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,,Hongjin Su; Ruoxi Sun; Jinsung Yoon; Pengcheng Yin; Tao Yu; Sercan Ö. Arık,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG; ICLR 2025,ICLR
Learner-Tailored Program Repair: A Solution Generator with Iterative Edit-Driven Retrieval Enhancement,,Zhenlong Dai; Zhuoluo Zhao; Hengning Wang; Xiu Tang; Sai Wu; Chang Yao; Zhipeng Gao; Jingyuan Chen,2026,arXiv,SE-G1 AND AI-G1,1,cs.AI; AAAI (2026),AAAI
Learning Adaptive Parallel Execution for Efficient Code Localization,,Ke Xu; Siyang Xiao; Ming Liang; Yichen Yu; Zhixiang Wang; Jingxuan Xu; Dajun Chen; Wei Jiang; Yong Li,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; ACL Findings (2026); ACL (Findings),ACL
Learning the Effects of Software Changes,10.1145/3650212.3685550,"Plein, Laura",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
Lingma SWE-GPT: An Open Development-Process-Centric Language Model for Automated Software Improvement,,Yingwei Ma; Rongyu Cao; Yongchang Cao; Yue Zhang; Jue Chen; Yibo Liu; Yuchen Liu; Binhua Li; Fei Huang; Yongbin Li,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ISSTA (2025),ISSTA
Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling,,Xu Yang; Jiayuan Zhou; Michael Pacheco; Wenhan Zhu; Pengfei He; Shaowei Wang; Kui Liu; Ruiqi Pan,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Lita: Light Agent Uncovers the Agentic Coding Capabilities of LLMs,,Hankun Dai; Maoquan Wang; Mengnan Qi; Yikai Zhang; Zijian Jin; Yongqiang Yao; Yufan Huang; Shengyu Fu; Elsie Nallipogu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?,,Chunqiu Steven Xia; Zhe Wang; Yan Yang; Yuxiang Wei; Lingming Zhang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,10.1145/3650212.3680388,"Xue, Zhiyi and Li, Liangguo and Tian, Senyue and Chen, Xiaohong and Li, Pingping and Chen, Liangyu and Jiang, Tingting and Zhang, Min",2024,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues,,Yalan Lin; Yingwei Ma; Rongyu Cao; Binhua Li; Fei Huang; Xiaodong Gu; Yongbin Li,2024,arXiv,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,cs.SE,arXiv
LocAgent: Graph-Guided LLM Agents for Code Localization,,Zhaoling Chen; Xiangru Tang; Gangda Deng; Fang Wu; Jialong Wu; Zhiwei Jiang; Viktor Prasanna; Arman Cohan; Xingyao Wang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE; ACL (2025),ACL
MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,,Wei Tao; Yucheng Zhou; Yanlin Wang; Wenqiang Zhang; Hongyu Zhang; Yu Cheng,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS (2024),NeurIPS
MAPS: A Multilingual Benchmark for Agent Performance and Security,,Omer Hofman; Jonathan Brokman; Oren Rachmil; Shamik Bose; Vikas Pahuja; Toshiya Shimizu; Trisha Starostina; Kelly Marchisio; Seraphina Goldfarb-Tarrant; Roman Vainshtein,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.DB; EACL Findings (2026),ACL
MarsCode Agent: AI-native Automated Bug Fixing,,Yizhou Liu; Pengfei Gao; Xinchen Wang; Jie Liu; Yexuan Shi; Zhao Zhang; Chao Peng,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
MASAI: Modular Architecture for Software-engineering AI Agents,,Daman Arora; Atharv Sonwane; Nalin Wadhwa; Abhav Mehrotra; Saiteja Utpala; Ramakrishna Bairi; Aditya Kanade; Nagarajan Natarajan,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; NeurIPS (2024); NeurIPS Workshop,NeurIPS
MCTS-Refined CoT: High-Quality Fine-Tuning Data for LLM-Based Repository Issue Resolution,10.1109/ase63991.2025.00154,Y. Wang; Z. Peng; Y. Wang; Z. Wei; H. Yu; Z. Zhu,2025,IEEE+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,4,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE); cs.SE,ASE
MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences,,Qihao Wang; Ziming Cheng; Shuo Zhang; Fan Liu; Rui Xu; Heng Lian; Kunyi Wang; Xiaoming Yu; Jianghao Yin; Sen Hu; Yue Hu; Shaolei Zhang; Yanbing Liu; Ronghao Chen; Huacan Wang,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
MEnvAgent: Scalable Polyglot Environment Construction for Verifiable Software Engineering,,Chuanzhe Guo; Jingjing Wu; Sijun He; Yang Chen; Zhaoqi Kuang; Shilong Fan; Bingjin Chen; Siqi Bao; Jing Liu; Hua Wu; Qingfu Zhu; Wanxiang Che; Haifeng Wang,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML (2026),ICML
MergeRepair: An Exploratory Study on Merging Task-Specific Adapters in Code LLMs for Automated Program Repair,,Meghdad Dehghan; Jie JW Wu; Fatemeh H. Fard; Ali Ouni,2024,arXiv,SE-G1 AND AI-G1,1,cs.SE; ICSME (2024) [Registered Reports],ICSME
Meta-RAG on Large Codebases Using Code Summarization,,Vali Tawosi; Salwa Alamir; Xiaomo Liu; Manuela Veloso,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE Workshop (2026) [AGENT],ICSE
MigrationBench: Repository-Level Code Migration Benchmark from Java 8,,Linbo Liu; Xinle Liu; Qiang Zhou; Lin Chen; Yihan Liu; Hoan Nguyen; Behrooz Omidvar-Tehrani; Xi Shen; Jun Huan; Omer Tripp; Anoop Deoras,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
More with Less: An Empirical Study of Turn-Control Strategies for Efficient Coding Agents,,Pengfei Gao; Chao Peng,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE (2026),ICSE
Multi-SWE-bench: A Multilingual Benchmark for Issue Resolving,,Daoguang Zan; Zhirong Huang; Wei Liu; Hanwu Chen; Linhao Zhang; Shulin Xin; Lu Chen; Qi Liu; Xiaojian Zhong; Aoyan Li; Siyao Liu; Yongsheng Xiao; Liangqiang Chen; Yuyu Zhang; Jing Su; Tianyu Liu; Rui Long; Kai Shen; Liang Xiang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS (2025) [Datasets & Benchmarks],NeurIPS
Nemotron-Cortexa: Enhancing LLM Agents for Software Engineering Tasks via Improved Localization and Solution Diversity,,Atefeh Sohrabizadeh; Jialin Song; Mingjie Liu; Rajarshi Roy; Chankyu Lee; Jonathan Raiman; Bryan Catanzaro,2025,arXiv,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,cs.SE,arXiv
Neurosymbolic Repo-level Code Localization,,Xiufeng Xu; Xiufeng Wu; Zejun Zhang; Yi Li,2026,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
NoCode-bench: A Benchmark for Evaluating Natural Language-Driven Feature Addition,,Le Deng; Zhonghao Jiang; Jialun Cao; Michael Pradel; Zhongxin Liu,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
OmniGIRL: A Multilingual and Multimodal Benchmark for GitHub Issue Resolution,10.1145/3728871,"Guo, Lianghong and Tao, Wei and Jiang, Runhan and Wang, Yanlin and Chen, Jiachi and Liu, Xilin and Ma, Yuchi and Mao, Mingzhi and Zhang, Hongyu and Zheng, Zibin",2025,ACM+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,5,ISSTA; cs.SE,ISSTA
On the Reliability and Explainability of Language Models for Program Generation,10.1145/3641540,"Liu, Yue and Tantithamthavorn, Chakkrit and Liu, Yonghui and Li, Li",2024,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
One Tool Is Enough: Reinforcement Learning for Repository-Level LLM Agents,,Zhaoxi Zhang; Yitong Duan; Yanzhi Zhang; Yiming Xu; Zhixiang Wang; Kun Liang; Weikang Li; Jiahui Liang; Deguo Xia; Jizhou Huang; Jiyan He; Yunfang Wu,2025,arXiv,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,cs.SE; ICML (2026),ICML
OpenHands: An Open Platform for AI Software Developers as Generalist Agents,,Xingyao Wang; Boxuan Li; Yufan Song; Frank F. Xu; Xiangru Tang; Mingchen Zhuge; Jiayi Pan; Yueqi Song; Bowen Li; Jaskirat Singh; Hoang H. Tran; Fuqiang Li; Ren Ma; Mingzhang Zheng; Bill Qian; Yanjun Shao; Niklas Muennighoff; Yizhe Zhang; Binyuan Hui; Junyang Lin; Robert Brennan; Hao Peng; Heng Ji; Graham Neubig,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICLR (2025),ICLR
ORACLE-SWE: Quantifying the Contribution of Oracle Information Signals on SWE Agents,,Kenan Li; Qirui Jin; Liao Zhu; Xiaosong Huang; Yijia Wu; Yikai Zhang; Xin Zhang; Zijian Jin; Yufan Huang; Elsie Nallipogu; Chaoyun Zhang; Yu Kang; Saravan Rajmohan; Qingwei Lin; Wenke Lee; Dongmei Zhang,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.MA; ICML,ICML
OrcaLoca: An LLM Agent Framework for Software Issue Localization,,Zhongming Yu; Hejia Zhang; Yujie Zhao; Hanxian Huang; Matrix Yao; Ke Ding; Jishen Zhao,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML (2025),ICML
Otter: Generating Tests from Issues to Validate SWE Patches,,Toufique Ahmed; Jatin Ganhotra; Rangeet Pan; Avraham Shinnar; Saurabh Sinha; Martin Hirzel,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML (2025),ICML
Outcome-Conditioned Reasoning Distillation for Resolving Software Issues,,Chenglin Li; Yisen Xu; Zehao Wang; Shin Hwei Tan; Tse-Hsun; Chen,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
PAGENT: Learning to Patch Software Engineering Agents,,Haoran Xue; Gias Uddin; Song Wang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE (2026) [SRC]; ICSE (SRC),ICSE
PatchPilot: A Stable and Cost-Efficient Agentic Patching Framework,,Hongwei Li; Yuheng Tang; Shiqi Wang; Wenbo Guo,2025,arXiv,SE-G2 AND AI-G2,1,cs.SE,arXiv
Pitfalls in Language Models for Code Intelligence: A Taxonomy and Survey,10.1145/3748647,"She, Xinyu and Liu, Yue and Zhao, Yanjie and He, Yiling and Li, Li and Tantithamthavorn, Chakkrit and Qin, Zhan and Wang, Haoyu",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
Prometheus: Unified Knowledge Graphs for Issue Resolution in Multilingual Codebases,,Zimin Chen; Yue Pan; Siyu Lu; Jiayi Xu; Claire Le Goues; Martin Monperrus; He Ye,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
